time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
0,0.2000005332,0.1999996226,2.66E-07,2.66E-07
30,0.2260725505,0.2025040242,0.07059508193,0.07059508193
60,0.3232414946,0.2081939901,0.4103455691,0.4103455691
90,0.4852998736,0.2155902586,1.095667686,1.095667686
120,0.6979447703,0.2240533072,2.14783251,2.14783251
150,0.9493752949,0.233251596,3.5718085,3.5718085
180,1.231022761,0.2429811714,5.366604594,5.366604594
210,1.537052048,0.2531112156,7.528492576,7.528492576
240,1.863614804,0.2635487417,10.01717038,10.01717038
270,2.206835157,0.2742168276,11.20276139,11.20276139
300,2.563191319,0.2850512318,11.55562548,11.55562548
330,2.93063661,0.296005599,11.67662239,11.67662239
360,3.307684703,0.3070446443,11.72022819,11.72022819
390,3.692139955,0.3181350526,11.73868952,11.73868952
420,4.082438213,0.3292518288,11.74532775,11.74532775
450,4.478504033,0.3403846937,11.74873431,11.74873431
480,4.884420199,0.3515798729,11.75184324,11.75184324
510,5.287047264,0.3626755051,11.75353831,11.75353831
540,5.685007417,0.3736355423,11.7541273,11.7541273
570,6.085136175,0.3844936253,11.75595634,11.75595634
600,6.483727898,0.3952265935,11.75577701,11.75577701
630,6.880459191,0.4058068065,11.75762549,11.75762549
660,7.277310596,0.4162436577,11.75862721,11.75862721
690,7.675260887,0.4265591053,11.7581519,11.7581519
720,8.074651985,0.4367458489,11.76015395,11.76015395
750,8.47632595,0.4468090666,11.76121742,11.76121742
780,8.882055286,0.45676208,11.76061677,11.76061677
810,9.291582979,0.4666026883,11.762815,11.762815
840,9.705939852,0.4763416084,11.7639442,11.7639442
870,10.12655536,0.4859903581,11.76320903,11.76320903
900,10.55439844,0.4955619169,11.76558948,11.76558948
930,11.00495884,0.5052069278,11.75631354,11.75631354
960,11.4601697,0.5147635809,11.75947258,11.75947258
990,11.91397182,0.5241750541,11.76557111,11.76557111
1020,12.37461467,0.5334614091,11.76755626,11.76755626
1050,12.84349538,0.5426934975,11.76736566,11.76736566
1080,13.31970822,0.5518548206,11.76999174,11.76999174
1110,13.80048999,0.560907987,11.77101268,11.77101268
1140,14.28941071,0.5699089766,11.77038616,11.77038616
1170,14.78847674,0.578864928,11.7730262,11.7730262
1200,15.29370419,0.5877349253,11.75864449,11.75864449
1230,15.80821907,0.5965404346,11.76711663,11.76711663
1260,16.33608666,0.6053050174,11.77282081,11.77282081
1290,16.87615874,0.6140034038,11.77435485,11.77435485
1320,17.42880605,0.6226292273,11.77441978,11.77441978
1350,18.00085164,0.6312212466,11.77712745,11.77712745
1380,18.61661345,0.6399083589,11.77772718,11.77772718
1410,19.25138251,0.6485227796,11.77738361,11.77738361
1440,19.89872925,0.657013629,11.78005285,11.78005285
1470,20.57633525,0.6654039666,11.78053518,11.78053518
1500,21.28580414,0.6737448667,11.78003721,11.78003721
1530,22.03604792,0.6820389864,11.78275157,11.78275157
1560,22.82119571,0.6902452433,11.78314331,11.78314331
1590,23.6452465,0.6983802587,11.78249779,11.78249779
1620,24.52536266,0.7064714537,11.78525706,11.78525706
1650,25.45688963,0.7144956237,11.78555569,11.78555569
1680,26.44091429,0.7224439858,11.78475958,11.78475958
1710,27.49533594,0.7303321067,11.78756093,11.78756093
1740,28.62427499,0.7381616797,11.78776413,11.78776413
1770,29.83492641,0.7459285251,11.78681563,11.78681563
1800,31.1493537,0.7536447013,11.78965789,11.78965789
